Frame,Time,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12
86,170,0.749226771,0.722002439,0.720765817,0.731232179,0.727014208,0.709509241,0.758902244,0.756280794,0.731464947,0.715911237,0.735497048,0.719538951
87,172,0.749869698,0.721214776,0.718723,0.72657623,0.735054038,0.712109591,0.757725727,0.755947856,0.73228229,0.716582846,0.734043821,0.715848429
88,174,0.752811079,0.720020472,0.718823303,0.722459685,0.732716948,0.714658093,0.759890254,0.761392155,0.731000453,0.719294073,0.737073172,0.717157228
89,176,0.752736433,0.715309568,0.718870993,0.727324937,0.733152532,0.711926363,0.758504652,0.760904286,0.72947047,0.719154771,0.736956015,0.715199348
90,178,0.752752986,0.711643129,0.719921164,0.725501023,0.729023666,0.712542804,0.758697501,0.753736756,0.732780196,0.714729151,0.737052091,0.716818736
91,180,0.751040273,0.70837391,0.718554547,0.721688681,0.725883622,0.713088551,0.757671818,0.759787926,0.733080415,0.712405503,0.734682132,0.718194845
92,182,0.757166744,0.71146007,0.71561911,0.727801654,0.729352424,0.720734913,0.759834309,0.759519237,0.72965821,0.715708741,0.736044495,0.719204895
93,184,0.753558875,0.710947067,0.717003209,0.72416434,0.72732534,0.711230981,0.763323867,0.759172038,0.733566185,0.715564045,0.737182069,0.715805233
94,186,0.754303487,0.713028572,0.718006252,0.724892749,0.719261018,0.714122391,0.764590776,0.763463607,0.731326922,0.716293893,0.741527877,0.720359385
95,188,0.755709711,0.71072636,0.717675906,0.724564155,0.725792235,0.718689075,0.761427565,0.765174653,0.730148136,0.715026721,0.740596303,0.713252891
96,190,0.75759817,0.718847475,0.720835547,0.72123167,0.725354887,0.714729669,0.758728157,0.76259859,0.728456766,0.716660717,0.736462239,0.718576539
97,192,0.754777892,0.718154115,0.717822693,0.723888208,0.72637939,0.709945398,0.759309474,0.765021988,0.727874903,0.713197805,0.735380842,0.715252559
98,194,0.758566485,0.71478721,0.71862797,0.72321141,0.729246299,0.707038415,0.758687179,0.763423111,0.731746574,0.713259883,0.737075859,0.715401317
99,196,0.751067468,0.708610769,0.715431588,0.72189593,0.72838058,0.70984348,0.756954587,0.756961506,0.728526964,0.71393993,0.734025556,0.714205128
100,198,0.755973076,0.712454863,0.718418263,0.722344411,0.723640469,0.70935141,0.755315802,0.762056875,0.732696007,0.712150034,0.734472779,0.716468275
101,200,0.750037591,0.705013256,0.714381829,0.715746716,0.724672833,0.70668553,0.75956201,0.756970458,0.73237469,0.709733231,0.732248516,0.718498694
102,202,0.756675588,0.707511875,0.715905354,0.718806119,0.728656774,0.711907191,0.755148356,0.758769228,0.734092299,0.710171884,0.732923754,0.711732126
103,204,0.748827259,0.701942823,0.713224465,0.715413236,0.728163662,0.705935962,0.753828508,0.75631691,0.732550656,0.711218754,0.732346566,0.718528956
104,206,0.750588936,0.704094692,0.713553196,0.708403046,0.715451406,0.70572624,0.754719945,0.762527385,0.732187259,0.714123008,0.728520803,0.711623116
105,208,0.748782485,0.703561788,0.71327585,0.708860498,0.713176953,0.708101166,0.751906585,0.751804964,0.731448578,0.709057998,0.729645236,0.71111294
106,210,0.746797841,0.692333768,0.710144984,0.71309578,0.71574542,0.706993904,0.749600883,0.756358461,0.729945338,0.712036335,0.732933614,0.717345754
107,212,0.746954832,0.697129583,0.709646471,0.706996108,0.72030452,0.703062265,0.754161322,0.751469181,0.729907788,0.708536263,0.732803809,0.713238521
108,214,0.746995356,0.695444005,0.709807513,0.708861438,0.711587605,0.708519688,0.754396588,0.751370966,0.736446981,0.708368303,0.732762984,0.715661208
109,216,0.749344008,0.689898788,0.707981215,0.709203035,0.714350277,0.711587889,0.750221518,0.758019477,0.734074495,0.709424394,0.734435578,0.712248888
110,218,0.746756855,0.68670266,0.705800787,0.708162453,0.715348256,0.701540365,0.750137149,0.748609463,0.732695358,0.705440151,0.729697538,0.715105998
111,220,0.744907087,0.690684137,0.708898314,0.708235449,0.710253079,0.706053976,0.751986377,0.75838084,0.736139927,0.70987624,0.736207292,0.713598484
112,222,0.74892996,0.697959337,0.708702356,0.710481356,0.70771153,0.706601671,0.751730943,0.755646154,0.7344538,0.70923788,0.73719805,0.714125884
113,224,0.749754359,0.69984811,0.709986457,0.714237576,0.724267798,0.71119633,0.751423295,0.755440013,0.732339581,0.708159242,0.736662203,0.713069863
114,226,0.755803311,0.701957361,0.711932138,0.712253621,0.711986105,0.706874136,0.756858495,0.76141474,0.727730193,0.70863243,0.735967702,0.711231805
115,228,0.757846798,0.705112187,0.713889199,0.714646495,0.723252682,0.704782084,0.750492579,0.759516173,0.73182404,0.710951805,0.737540928,0.711468588
116,230,0.75596366,0.707107142,0.713566499,0.709127076,0.718133508,0.707156596,0.750430157,0.751426759,0.731815029,0.708281597,0.73177349,0.710297332
117,232,0.752878305,0.692060385,0.711009644,0.714856185,0.721181201,0.711078181,0.74896071,0.756810806,0.734576681,0.709908224,0.733768748,0.710813784
118,234,0.749132307,0.69675145,0.712263258,0.716587795,0.719876616,0.701966619,0.748812463,0.756258232,0.730865475,0.712103641,0.731586445,0.704601613
119,236,0.749914191,0.692019294,0.709573653,0.708532513,0.718058812,0.702019058,0.746440434,0.75843224,0.72989718,0.705459395,0.731027355,0.710846702
120,238,0.750962694,0.688072126,0.711186878,0.708778562,0.718260302,0.707232252,0.749894639,0.755219728,0.733492771,0.705999017,0.733172912,0.707346242
121,240,0.752914394,0.692011854,0.711320223,0.706775593,0.719695401,0.703896652,0.746378674,0.751145417,0.733357105,0.706384088,0.731426788,0.70802716
122,242,0.752161524,0.688002044,0.708523318,0.712952016,0.713576085,0.701441933,0.744691469,0.754576346,0.732012292,0.706141808,0.728338293,0.707139453
123,244,0.751671483,0.685401543,0.710139239,0.709482593,0.707922326,0.704376169,0.745469323,0.750061286,0.734038365,0.703114157,0.723769702,0.707983149
124,246,0.753463064,0.681874973,0.708599265,0.707812069,0.71287038,0.70562458,0.746624574,0.752303938,0.732603448,0.707174767,0.725700556,0.705552331
125,248,0.754860325,0.6814142,0.704969664,0.709326254,0.715440444,0.701307209,0.748126101,0.751845406,0.733041508,0.706439535,0.72490775,0.708071112
126,250,0.752497341,0.672763736,0.704385678,0.705781586,0.710975837,0.702635573,0.743509476,0.747073821,0.735339837,0.70778095,0.72852817,0.703885651
127,252,0.751440211,0.674879188,0.703724182,0.709745329,0.714912797,0.699873219,0.749720605,0.750819081,0.73103783,0.705501017,0.722612757,0.703294637
128,254,0.757751235,0.678486478,0.704606124,0.709325561,0.716913397,0.701263335,0.748552959,0.755895563,0.731072228,0.704723088,0.720735157,0.709008232
129,256,0.760503186,0.682129611,0.70863332,0.706507269,0.716116103,0.704098052,0.745135867,0.750629645,0.729506397,0.701994725,0.72169498,0.700278576
130,258,0.751599701,0.677227661,0.706808316,0.701773419,0.725376112,0.704076587,0.743702493,0.750194075,0.725938815,0.701204274,0.720454244,0.70022131
131,260,0.758904828,0.676126347,0.707526012,0.705322896,0.71819102,0.703414803,0.742561338,0.746414798,0.729386398,0.704421536,0.720802018,0.698983239
132,262,0.754350281,0.6810238,0.705023755,0.708398927,0.720667972,0.707657516,0.750187314,0.74320708,0.727748533,0.701049186,0.716560492,0.698110146
133,264,0.755721709,0.671360263,0.706750704,0.702570617,0.715411186,0.698313046,0.744946411,0.751270541,0.729407328,0.700948603,0.719613265,0.70075937
134,266,0.753784157,0.675642764,0.706511958,0.708380855,0.711897263,0.704300348,0.745040238,0.743226465,0.731363548,0.703059253,0.714855927,0.699471189
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
